Correlation,FDR,Feature 1,Feature 2
continuous,continuous,string,string
,,meta,meta
0.163,1.737026169398227e-08,209395_at,216701_at
0.163,1.7444622519176696e-08,204088_at,209395_at
0.163,1.7540486424139337e-08,209395_at,220240_s_at
0.163,1.754261066045557e-08,209395_at,212446_s_at
0.163,1.755569465185404e-08,209395_at,217340_at
0.163,1.768847562829512e-08,209395_at,220747_at
0.163,1.7896816912857187e-08,209395_at,215205_x_at
0.163,1.8016495936052195e-08,206270_at,209395_at
0.163,1.803713187289593e-08,201337_s_at,209395_at
0.163,1.804374093197321e-08,209395_at,219057_at
0.163,1.811021787714439e-08,205206_at,209395_at
0.163,1.8262105154928165e-08,209395_at,214642_x_at
0.163,1.8270828060064602e-08,208431_s_at,209395_at
-0.163,1.8306380315326362e-08,205696_s_at,209395_at
0.163,1.833512623229353e-08,204427_s_at,209395_at
0.163,1.8366574324458192e-08,207973_x_at,209395_at
0.163,1.8402523301462907e-08,209395_at,216127_at
0.163,1.8602592934129342e-08,206607_at,209395_at
0.163,1.8699394549649544e-08,209395_at,220936_s_at
0.163,1.870956682249828e-08,205920_at,209395_at
0.163,1.8835381710113766e-08,209395_at,214747_at
0.163,1.8867210749163035e-08,203862_s_at,209395_at
0.163,1.8988330793472143e-08,208272_at,209395_at
0.163,1.9049414401472018e-08,209395_at,216445_at
0.163,1.907585824171987e-08,209395_at,221134_at
0.163,1.9124880765396334e-08,207635_s_at,209395_at
0.163,1.915703510033527e-08,208254_at,209395_at
0.163,1.9338752317109795e-08,209395_at,215502_at
0.163,1.936429860855818e-08,209395_at,209942_x_at
0.163,1.9501947552665302e-08,207314_x_at,209395_at
0.163,1.9544005876212697e-08,209395_at,214180_at
0.163,1.955135310703495e-08,209395_at,222087_at
0.163,1.9682186559635066e-08,209395_at,212389_at
0.163,1.9711813399454747e-08,209395_at,215086_at
0.163,1.9740975780745346e-08,207872_s_at,209395_at
0.163,1.985502267122584e-08,209395_at,220012_at
0.163,1.991740511625553e-08,206504_at,209395_at
0.163,1.9976986371267676e-08,206627_s_at,209395_at
0.163,2.0020710588131293e-08,209395_at,214856_at
0.163,2.032061225647171e-08,209395_at,215893_x_at
0.163,2.040752617619429e-08,209395_at,216546_s_at
0.163,2.0469361644679716e-08,201311_s_at,209395_at
0.163,2.057763006753208e-08,209395_at,222300_at
0.163,2.0661569269975544e-08,209395_at,210261_at
0.163,2.067153082380516e-08,204029_at,209395_at
0.163,2.0700292445674717e-08,209395_at,49452_at
0.163,2.0704283861276212e-08,203587_at,209395_at
0.162,2.098030338053629e-08,207424_at,209395_at
0.162,2.100109717554655e-08,209395_at,211706_s_at
0.162,2.1101251781419325e-08,206998_x_at,209395_at
0.162,2.1122165944161896e-08,209395_at,211463_at
0.162,2.1262444641946456e-08,209395_at,217062_at
0.162,2.130392775768613e-08,209395_at,217507_at
0.162,2.132499183420183e-08,204250_s_at,209395_at
0.162,2.1544016318930837e-08,209395_at,210445_at
0.162,2.1593082029163348e-08,208115_x_at,209395_at
0.162,2.176970361987315e-08,209395_at,220676_at
0.162,2.1955603715861088e-08,209395_at,218489_s_at
0.162,2.1998870281709347e-08,209395_at,210823_s_at
0.162,2.201307377294507e-08,209395_at,211203_s_at
0.162,2.2021887101305052e-08,209395_at,222194_at
0.162,2.209540704873989e-08,207415_at,209395_at
0.162,2.2123450494933984e-08,209395_at,211001_at
0.162,2.2199179546639925e-08,209395_at,216642_at
0.162,2.2325541269019858e-08,208124_s_at,209395_at
0.162,2.2459462586518754e-08,209395_at,209701_at
0.162,2.2464556704558098e-08,209395_at,214910_s_at
0.162,2.24758872503308e-08,202507_s_at,209395_at
0.162,2.247703281555529e-08,209395_at,221093_at
0.162,2.249535570036944e-08,209395_at,219891_at
0.162,2.2556026511047087e-08,209395_at,210363_s_at
0.162,2.2565672693987057e-08,206248_at,209395_at
0.162,2.2702082153400274e-08,209395_at,219887_at
0.162,2.286030218578708e-08,209395_at,219861_at
0.162,2.291804152217443e-08,209395_at,221945_at
0.162,2.3020941486166428e-08,206189_at,209395_at
0.162,2.310157702209916e-08,206980_s_at,209395_at
0.162,2.3249438005922907e-08,209395_at,216703_at
0.162,2.3365748232064956e-08,209395_at,221187_s_at
0.162,2.3405430041214613e-08,200862_at,209395_at
0.162,2.3420940547173026e-08,208333_at,209395_at
0.162,2.3448662542568147e-08,204567_s_at,209395_at
0.162,2.3448662542568147e-08,209395_at,213678_at
0.162,2.3630190893317317e-08,204898_at,209395_at
0.162,2.3746105305502973e-08,208222_at,209395_at
0.162,2.3790875989159508e-08,208522_s_at,209395_at
0.162,2.3824934875721972e-08,209395_at,211608_at
0.162,2.3954833197812453e-08,203789_s_at,209395_at
0.162,2.420830648264533e-08,204945_at,209395_at
0.162,2.4244192758621793e-08,209395_at,216877_at
0.162,2.448462232028453e-08,208068_x_at,209395_at
0.162,2.4718806437541393e-08,207061_at,209395_at
0.162,2.4988430800944597e-08,209395_at,215061_at
0.162,2.5020674081659364e-08,209395_at,213063_at
0.162,2.519065368266851e-08,209395_at,59705_at
0.162,2.5284130100382224e-08,207680_x_at,209395_at
0.161,2.5545726660079615e-08,207984_s_at,209395_at
0.161,2.5713223124991257e-08,209395_at,221034_s_at
0.161,2.5795668155291075e-08,201943_s_at,209395_at
0.161,2.5816072934271866e-08,208893_s_at,209395_at
0.161,2.595857535653192e-08,209395_at,219252_s_at
0.161,2.6206859293438496e-08,209395_at,220265_at
0.161,2.6478749037018845e-08,203413_at,209395_at
0.161,2.666631643943482e-08,209395_at,215697_at
0.161,2.676012838422587e-08,207319_s_at,209395_at
0.161,2.678317857755589e-08,209395_at,221222_s_at
0.161,2.6790575174539604e-08,202088_at,209395_at
0.161,2.6893298973888473e-08,209395_at,220406_at
0.161,2.6974214945271963e-08,209395_at,216185_at
0.161,2.7101242122905037e-08,201081_s_at,209395_at
0.161,2.7101242122905037e-08,209395_at,221623_at
0.161,2.726085123216225e-08,209395_at,221124_s_at
0.161,2.726085123216225e-08,209395_at,211925_s_at
0.161,2.7307452992676186e-08,209395_at,220666_at
0.161,2.7340878066344713e-08,205425_at,209395_at
0.161,2.7361903450706148e-08,202454_s_at,209395_at
0.161,2.73806630215406e-08,209395_at,220284_at
0.161,2.7470519242526213e-08,209395_at,209532_at
0.161,2.751584611875162e-08,209395_at,221106_at
0.161,2.752413532981346e-08,208187_s_at,209395_at
0.161,2.7683825420755148e-08,209395_at,221099_at
0.161,2.7693267073129262e-08,209395_at,220811_at
0.161,2.779362276768957e-08,209395_at,217007_s_at
0.161,2.784722374468992e-08,209395_at,215369_at
0.161,2.812127891771493e-08,206728_at,209395_at
0.161,2.819604691163464e-08,209395_at,221466_at
0.161,2.8300984041076358e-08,209395_at,210848_at
0.161,2.8390923690291526e-08,206422_at,209395_at
0.161,2.844761766083014e-08,205422_s_at,209395_at
0.161,2.8524635844066937e-08,209395_at,221148_at
0.161,2.8994488224383757e-08,206255_at,209395_at
0.161,2.9022206889384717e-08,209395_at,215830_at
0.161,2.935286399973691e-08,209395_at,214633_at
0.161,2.938036041890052e-08,208010_s_at,209395_at
0.161,2.938700956625863e-08,208471_at,209395_at
0.161,2.939530687946257e-08,209395_at,218711_s_at
0.161,2.9478786466854805e-08,209395_at,217020_at
0.161,2.9619492601156614e-08,209395_at,214521_at
0.161,2.979005807371298e-08,209395_at,216667_at
0.161,2.9799851397129863e-08,205906_at,209395_at
0.161,2.982129975773543e-08,204776_at,209395_at
0.161,2.9861200236862324e-08,209395_at,211425_x_at
0.161,2.9976755523090526e-08,204410_at,209395_at
0.161,3.0033838020388736e-08,209395_at,211102_s_at
0.161,3.0079718763217507e-08,209395_at,216799_at
0.161,3.009333760389852e-08,209395_at,220316_at
0.161,3.0117326380894076e-08,205836_s_at,209395_at
0.161,3.028666906582507e-08,207432_at,209395_at
0.161,3.032331716807921e-08,208356_x_at,209395_at
0.161,3.038823333789239e-08,209395_at,220332_at
0.161,3.0785267783926554e-08,206381_at,209395_at
0.16,3.123261090355111e-08,209395_at,213482_at
0.16,3.135266496814415e-08,205983_at,209395_at
0.16,3.1414346445420835e-08,209395_at,215506_s_at
0.16,3.1438375579838214e-08,209395_at,217217_at
0.16,3.159180698914714e-08,208567_s_at,209395_at
0.16,3.1700803599473275e-08,209395_at,209910_at
0.16,3.18171635479677e-08,209395_at,214599_at
0.16,3.209873268867974e-08,209395_at,222313_at
-0.16,3.217220706408274e-08,206869_at,209395_at
0.16,3.2220952916913337e-08,209395_at,215251_at
0.16,3.2436703065016366e-08,209395_at,220650_s_at
0.16,3.254605506163971e-08,209395_at,211253_x_at
0.16,3.256794233272558e-08,209395_at,210198_s_at
0.16,3.272777121035922e-08,208888_s_at,209395_at
0.16,3.3067862738625546e-08,207701_at,209395_at
0.16,3.31440461726292e-08,209395_at,216128_at
0.16,3.328828037701484e-08,201159_s_at,209395_at
0.16,3.346431321583968e-08,209395_at,210537_s_at
0.16,3.353546005032465e-08,207232_s_at,209395_at
0.16,3.357683266341854e-08,207670_at,209395_at
0.16,3.360102709557375e-08,209395_at,216617_s_at
0.16,3.3663730964195255e-08,205737_at,209395_at
0.16,3.368865390837504e-08,204686_at,209395_at
0.16,3.372411675216249e-08,205938_at,209395_at
0.16,3.3838927791939273e-08,209395_at,215579_at
0.16,3.3875032864161437e-08,209395_at,219671_at
0.16,3.3943686440740434e-08,209395_at,221139_s_at
0.16,3.398249954903435e-08,209395_at,211879_x_at
0.16,3.403271845745229e-08,205799_s_at,209395_at
0.16,3.410207626320388e-08,207304_at,209395_at
0.16,3.437074640666327e-08,208524_at,209395_at
0.16,3.446282987129437e-08,209395_at,218390_s_at
0.16,3.455015992021835e-08,209395_at,220978_at
0.16,3.455015992021835e-08,205933_at,209395_at
0.16,3.456705814215689e-08,201547_at,209395_at
0.16,3.469374386000785e-08,209395_at,220022_at
0.16,3.483814850947424e-08,209395_at,214485_at
0.16,3.4854533659809546e-08,206597_at,209395_at
0.16,3.4912050851092006e-08,209395_at,211846_s_at
0.16,3.494515714440681e-08,208226_x_at,209395_at
0.16,3.534028968884e-08,207863_at,209395_at
0.16,3.540859518855201e-08,209395_at,220593_s_at
0.16,3.548493379947969e-08,209395_at,217303_s_at
0.16,3.574385749780076e-08,209395_at,221322_at
0.16,3.5894770627237854e-08,209395_at,213961_s_at
0.16,3.5907231241286536e-08,209395_at,219745_at
0.16,3.5954719599696865e-08,209395_at,212865_s_at
0.16,3.619625224047382e-08,209395_at,217373_x_at
0.16,3.6320703978139115e-08,209395_at,221259_s_at
0.16,3.63954957364039e-08,209395_at,211008_s_at
0.16,3.665107133636197e-08,209395_at,215449_at
0.16,3.704135954721221e-08,209395_at,215331_at
0.16,3.710386548941016e-08,209395_at,214068_at
0.16,3.7133584926634007e-08,209395_at,221068_at
0.16,3.719322277250267e-08,206721_at,209395_at
0.16,3.724446547814681e-08,200879_s_at,209395_at
0.16,3.75869284636313e-08,203784_s_at,209395_at
0.16,3.771921849706234e-08,209395_at,221372_s_at
0.16,3.7725579588684356e-08,209395_at,209981_at
0.159,3.779177800316087e-08,207908_at,209395_at
0.159,3.7907561224249134e-08,209395_at,222156_x_at
0.159,3.802952567070392e-08,209395_at,219612_s_at
0.159,3.830174637824481e-08,206547_s_at,209395_at
0.159,3.8332284650004163e-08,209395_at,214300_s_at
0.159,3.869626600496024e-08,209395_at,216522_at
0.159,3.877766455411746e-08,209395_at,212970_at
0.159,3.887019991485218e-08,209395_at,219263_at
0.159,3.887600039506044e-08,209395_at,217416_x_at
0.159,3.895981532025554e-08,206646_at,209395_at
0.159,3.9001978544758355e-08,209395_at,215999_at
0.159,3.9107506179815125e-08,209395_at,217660_at
0.159,3.9110220708242445e-08,209395_at,211470_s_at
0.159,3.921059166079722e-08,209395_at,217630_at
0.159,3.949275381178626e-08,205738_s_at,209395_at
0.159,3.950833849106539e-08,209395_at,221457_s_at
0.159,3.9540745248180724e-08,209395_at,219730_at
0.159,3.959297569835387e-08,208056_s_at,209395_at
0.159,3.9702391809877896e-08,204967_at,209395_at
0.159,3.9997111071053924e-08,209395_at,220092_s_at
0.159,4.0040809148088705e-08,206811_at,209395_at
0.159,4.0293584534849395e-08,209395_at,216979_at
0.159,4.0636710560799235e-08,209395_at,216113_at
0.159,4.0723743322736085e-08,209395_at,210394_x_at
0.159,4.0799264808131336e-08,209395_at,219285_s_at
0.159,4.097296768883494e-08,209395_at,216116_at
0.159,4.1219162223260433e-08,209395_at,209637_s_at
0.159,4.1326776600714103e-08,209395_at,215294_s_at
0.159,4.1632644996898274e-08,207896_s_at,209395_at
0.159,4.19664098573803e-08,209395_at,209756_s_at
0.159,4.19708179132511e-08,209395_at,216552_x_at
0.159,4.19708179132511e-08,209395_at,213697_at
0.159,4.225984717036121e-08,209395_at,216163_at
0.159,4.263888695619136e-08,205473_at,209395_at
0.159,4.268017499839348e-08,209395_at,217394_at
0.159,4.271414427537671e-08,209395_at,36830_at
0.159,4.2732675101684415e-08,206532_at,209395_at
0.159,4.281390966875585e-08,209395_at,217550_at
0.159,4.2828182009732756e-08,209395_at,210469_at
0.159,4.303144777134314e-08,206942_s_at,209395_at
0.159,4.329499748232099e-08,205182_s_at,209395_at
0.159,4.341644061908437e-08,209395_at,220637_at
0.159,4.376141710403893e-08,209395_at,213899_at
0.159,4.384462043427207e-08,209395_at,222013_x_at
0.159,4.4405344694800715e-08,209395_at,217710_x_at
0.159,4.446511012470891e-08,202588_at,209395_at
0.159,4.482689040271587e-08,209395_at,217453_at
0.159,4.486122596075578e-08,207820_at,209395_at
0.159,4.503265457781538e-08,209395_at,217602_at
0.159,4.533896301915363e-08,207097_s_at,209395_at
0.159,4.572643554855032e-08,206711_at,209395_at
0.159,4.5738484234364684e-08,207341_at,209395_at
0.159,4.576353875789506e-08,206424_at,209395_at
0.158,4.6815742694062136e-08,208409_at,209395_at
0.158,4.7064160071001705e-08,209395_at,41397_at
0.158,4.7538724767738875e-08,202438_x_at,209395_at
0.158,4.825636234441226e-08,209395_at,215820_x_at
0.158,4.830479886256327e-08,209395_at,214475_x_at
0.158,4.832453980905826e-08,209395_at,222224_at
0.158,4.907689677265947e-08,209395_at,214424_s_at
0.158,4.93887202114678e-08,209395_at,209952_s_at
0.158,4.944448590443207e-08,209395_at,214841_at
0.158,4.9541853651172424e-08,205028_at,209395_at
0.158,4.9772875767609713e-08,209395_at,215289_at
0.158,4.980535656299922e-08,209395_at,214547_at
0.158,5.013828180142755e-08,209395_at,216156_at
0.158,5.041620355331246e-08,209395_at,211816_x_at
0.158,5.0582201588875136e-08,209395_at,221608_at
0.158,5.073001289929957e-08,209395_at,211826_s_at
0.158,5.074356643599582e-08,209395_at,211912_at
0.158,5.10310042202937e-08,203815_at,209395_at
0.158,5.1250289224992467e-08,209395_at,216790_at
0.158,5.153209527876502e-08,209395_at,221674_s_at
0.158,5.2122768510155194e-08,209395_at,215081_at
0.158,5.279559542292924e-08,207064_s_at,209395_at
0.158,5.297716913540102e-08,209395_at,211053_at
0.158,5.3044384049106284e-08,201927_s_at,209395_at
0.158,5.3044421893750084e-08,209395_at,220412_x_at
0.158,5.3112357487459657e-08,209395_at,216029_at
0.158,5.338771999925822e-08,209395_at,214101_s_at
0.158,5.338771999925822e-08,209395_at,211127_x_at
0.158,5.341242823815266e-08,209395_at,217296_at
0.158,5.3650969277279334e-08,209395_at,215036_at
0.158,5.380327464638512e-08,209395_at,217611_at
0.158,5.388642306915627e-08,209395_at,222321_at
0.158,5.392303240306329e-08,209395_at,220756_s_at
0.158,5.4140658340450816e-08,209395_at,210373_at
0.158,5.440174631278691e-08,205048_s_at,209395_at
0.158,5.472882454684745e-08,209395_at,214762_at
0.158,5.47818607106142e-08,209395_at,215259_s_at
0.158,5.4801838362466274e-08,202908_at,209395_at
0.158,5.501613308073076e-08,209395_at,216049_at
0.158,5.5030436596081494e-08,209395_at,221611_s_at
0.158,5.5165909265537735e-08,209395_at,212932_at
0.158,5.519141590715242e-08,208460_at,209395_at
0.158,5.552276944720377e-08,209395_at,221606_s_at
0.158,5.5764192200890345e-08,208357_x_at,209395_at
0.157,5.643261454248382e-08,206144_at,209395_at
0.157,5.69163529326613e-08,209395_at,209425_at
0.157,5.695268951194865e-08,209395_at,211579_at
0.157,5.7448296076290234e-08,209395_at,210698_at
0.157,5.754182998174983e-08,209395_at,221793_at
0.157,5.7816662869278764e-08,209395_at,220672_at
0.157,5.787452213737113e-08,209395_at,215428_at
0.157,5.7903092068815903e-08,209395_at,210129_s_at
0.157,5.792565286526647e-08,209395_at,214675_at
0.157,5.7944159740723014e-08,205118_at,209395_at
0.157,5.800637469138238e-08,207094_at,209395_at
0.157,5.808273591832451e-08,206264_at,209395_at
0.157,5.812259231693115e-08,207260_at,209395_at
0.157,5.829297891225893e-08,209395_at,216692_at
0.157,5.840008151084436e-08,207371_at,209395_at
0.157,5.8476003536394345e-08,206403_at,209395_at
0.157,5.893106899348705e-08,201149_s_at,209395_at
0.157,5.894015902413781e-08,209301_at,209395_at
0.157,5.896230554004792e-08,201538_s_at,209395_at
0.157,5.9592823917890095e-08,209395_at,220824_at
0.157,5.972196302929208e-08,209395_at,215097_at
0.157,5.977570245598592e-08,209395_at,216660_at
0.157,5.98101364789541e-08,209395_at,216184_s_at
0.157,6.036139865772968e-08,209395_at,218994_s_at
0.157,6.084020365189828e-08,208235_x_at,209395_at
0.157,6.240480181907227e-08,209395_at,219954_s_at
0.157,6.263334776166382e-08,209395_at,221268_s_at
0.157,6.292710046042122e-08,207745_at,209395_at
0.157,6.349370967189361e-08,209395_at,212278_x_at
0.157,6.455877295061873e-08,209395_at,209865_at
0.157,6.506254029020703e-08,204954_s_at,209395_at
0.157,6.515879334709148e-08,209395_at,212477_at
0.157,6.554413004703949e-08,209395_at,216062_at
0.157,6.624644596990743e-08,209395_at,215805_at
0.157,6.728796395828764e-08,208035_at,209395_at
0.157,6.804264521725799e-08,208584_at,209395_at
0.156,6.839661613653709e-08,209395_at,209401_s_at
0.156,6.875682402356289e-08,203673_at,209395_at
0.156,6.904375111131758e-08,209395_at,213643_s_at
0.156,6.929723022529189e-08,209395_at,217038_at
0.156,6.931558457718172e-08,209395_at,212679_at
0.156,7.011609827619646e-08,209395_at,219570_at
0.156,7.025594016165054e-08,209395_at,217012_at
0.156,7.029331049566369e-08,209395_at,210229_s_at
0.156,7.046409058473395e-08,209395_at,215738_at
0.156,7.056927640122219e-08,209395_at,221162_at
0.156,7.074601324472743e-08,209395_at,213636_at
0.156,7.150626271595284e-08,209395_at,217026_at
0.156,7.16091440308021e-08,204468_s_at,209395_at
0.156,7.183390966092432e-08,209395_at,211384_s_at
0.156,7.187586924832854e-08,209395_at,220153_at
0.156,7.188067042991336e-08,209395_at,210440_s_at
0.156,7.207861778519944e-08,209395_at,215122_at
0.156,7.213168817616008e-08,207372_s_at,209395_at
0.156,7.213764714679683e-08,203461_at,209395_at
0.156,7.214266739086642e-08,209395_at,217307_at
0.156,7.255565891054124e-08,209395_at,213177_at
-0.156,7.272256920244365e-08,209395_at,216604_s_at
0.156,7.291980948750093e-08,209395_at,210159_s_at
0.156,7.292837036747255e-08,209395_at,217342_x_at
0.156,7.369792743314196e-08,209395_at,217084_at
0.156,7.403510276658094e-08,206675_s_at,209395_at
0.156,7.433293691906315e-08,207553_at,209395_at
0.156,7.479512083050585e-08,209395_at,210744_s_at
0.156,7.538687091328977e-08,209395_at,221119_at
0.156,7.581875585880706e-08,206064_s_at,209395_at
0.156,7.637559226405389e-08,209395_at,221177_at
0.156,7.666958539405132e-08,204888_s_at,209395_at
0.156,7.673961639277691e-08,207748_at,209395_at
0.156,7.713199478013913e-08,209395_at,219792_at
0.156,7.745285065122352e-08,209395_at,217316_at
0.156,7.8355320485177e-08,209395_at,60084_at
0.156,7.890970192592112e-08,207357_s_at,209395_at
0.156,7.94347034854602e-08,209395_at,210195_s_at
0.156,7.959545396235911e-08,201556_s_at,209395_at
0.156,7.967467188794591e-08,209395_at,211548_s_at
0.156,7.970668364099432e-08,206865_at,209395_at
0.156,8.027617026105159e-08,206610_s_at,209395_at
0.156,8.030564750000497e-08,209395_at,210436_at
0.156,8.034318958676661e-08,209395_at,221459_at
0.156,8.049441559535299e-08,209395_at,221659_s_at
0.156,8.062945223643167e-08,209395_at,220886_at
0.156,8.079695589351678e-08,209395_at,210727_at
0.156,8.106898318850837e-08,209395_at,221455_s_at
0.156,8.131564142525316e-08,205566_at,209395_at
0.156,8.136816908310144e-08,209395_at,215019_x_at
0.156,8.152521477458047e-08,209395_at,219703_at
0.156,8.156633249217202e-08,204708_at,209395_at
0.156,8.165542812806187e-08,209395_at,210796_x_at
0.156,8.184138371484944e-08,205318_at,209395_at
0.156,8.191333502122157e-08,207982_at,209395_at
0.156,8.203960078285031e-08,209395_at,213171_s_at
0.156,8.214059979254259e-08,205846_at,209395_at
0.156,8.236602685562566e-08,207579_at,209395_at
0.155,8.275233550051992e-08,209395_at,211011_at
0.155,8.287426881513668e-08,209395_at,210122_at
0.155,8.328227047776633e-08,209395_at,215678_at
0.155,8.347523006534968e-08,209395_at,217685_at
0.155,8.351706654616565e-08,209395_at,220819_at
0.155,8.476921445270554e-08,207673_at,209395_at
0.155,8.514843299162071e-08,206305_s_at,209395_at
0.155,8.551490674954447e-08,206726_at,209395_at
0.155,8.557130967547993e-08,205127_at,209395_at
0.155,8.564762904187128e-08,206768_at,209395_at
0.155,8.606366125735821e-08,208133_at,209395_at
0.155,8.611117248840723e-08,209395_at,221217_s_at
0.155,8.611481383363253e-08,209395_at,222095_s_at
0.155,8.621346432159838e-08,209395_at,215871_at
0.155,8.674420260957351e-08,207279_s_at,209395_at
0.155,8.677466082165439e-08,209395_at,209866_s_at
0.155,8.698625627697174e-08,209395_at,221337_s_at
0.155,8.841081366911382e-08,209395_at,220889_s_at
0.155,8.854941627380768e-08,209395_at,216969_s_at
0.155,8.894689867726504e-08,209395_at,220820_at
0.155,8.894689867726504e-08,204045_at,209395_at
0.155,8.904247938961472e-08,206537_at,209395_at
0.155,8.918544034485051e-08,205468_s_at,209395_at
0.155,8.974296140363791e-08,209395_at,217277_at
0.155,8.977029003285033e-08,206950_at,209395_at
0.155,8.97716936063464e-08,209395_at,221968_s_at
0.155,8.983996558289016e-08,209395_at,214746_s_at
0.155,9.045738029053015e-08,209395_at,220110_s_at
0.155,9.07207984865467e-08,201265_at,209395_at
0.155,9.103359757804531e-08,206256_at,209395_at
0.155,9.110001574325944e-08,209395_at,221391_at
0.155,9.11946049143586e-08,209395_at,221319_at
0.155,9.15326843654249e-08,209395_at,216492_at
0.155,9.17718475853879e-08,209395_at,221366_at
0.155,9.209342585243381e-08,206600_s_at,209395_at
0.155,9.247638967738818e-08,209395_at,219712_s_at
0.155,9.289243038378562e-08,209395_at,214668_at
0.155,9.317937292046302e-08,209395_at,211140_s_at
0.155,9.335204301161601e-08,209395_at,217859_s_at
0.155,9.347191680494686e-08,209395_at,215739_s_at
0.155,9.3480623579428e-08,209395_at,217199_s_at
0.155,9.38132749428105e-08,209395_at,216898_s_at
0.155,9.416917290595655e-08,209395_at,210665_at
0.155,9.483344248364382e-08,206546_at,209395_at
0.155,9.542959569292651e-08,209395_at,215433_at
0.155,9.596415712676455e-08,209395_at,211828_s_at
0.155,9.601722820918028e-08,209395_at,209951_s_at
0.155,9.724395196271122e-08,209395_at,219514_at
0.155,9.734334528501774e-08,205919_at,209395_at
0.155,9.757589092122619e-08,209395_at,220578_at
0.155,9.791798539683755e-08,209395_at,214660_at
0.155,9.796280682000777e-08,207854_at,209395_at
0.155,9.894860376490507e-08,209395_at,213362_at
0.155,9.899602052967443e-08,205709_s_at,209395_at
0.155,9.906241053751548e-08,209395_at,215650_at
0.155,9.909060419905202e-08,209395_at,216924_s_at
0.155,9.911584609027112e-08,209395_at,216078_at
0.155,9.943294850195659e-08,209395_at,216313_at
0.155,9.971245435930903e-08,209395_at,220365_at
0.155,1.001317325150202e-07,209395_at,222170_at
0.154,1.0185542730755885e-07,203106_s_at,209395_at
-0.154,1.024011339485388e-07,209395_at,221585_at
0.154,1.0240129915043104e-07,205976_at,209395_at
0.154,1.0259870153684369e-07,209395_at,211389_x_at
0.154,1.0421995192101129e-07,209395_at,221440_s_at
0.154,1.0439223560539779e-07,209395_at,215672_s_at
0.154,1.0493932725062308e-07,209395_at,217594_at
0.154,1.0499356598921007e-07,209395_at,217300_at
0.154,1.0500066353160838e-07,209395_at,216138_at
0.154,1.0726135503844892e-07,207566_at,209395_at
0.154,1.0732111761419647e-07,206275_s_at,209395_at
0.154,1.0755960265644884e-07,209395_at,216021_s_at
0.154,1.0773827682411266e-07,209395_at,213563_s_at
0.154,1.0834178546847926e-07,209395_at,216389_s_at
0.154,1.0853487837558536e-07,209395_at,216117_at
0.154,1.0920457245569361e-07,206973_at,209395_at
0.154,1.09534614196924e-07,208320_at,209395_at
0.154,1.1010474029657498e-07,209395_at,212106_at
0.154,1.1024029375762013e-07,206229_x_at,209395_at
0.154,1.1071225569279954e-07,209395_at,214732_at
0.154,1.1114278360651697e-07,209395_at,221107_at
0.154,1.1146198685969222e-07,209395_at,216179_x_at
0.154,1.1163386841400013e-07,209071_s_at,209395_at
0.154,1.1226610775130102e-07,205326_at,209395_at
0.154,1.1245266139525001e-07,209395_at,210940_s_at
0.154,1.1313793674452442e-07,209395_at,216498_at
0.154,1.1404950722974317e-07,209395_at,217081_at
0.154,1.1466467017212551e-07,209395_at,217438_at
0.154,1.1495617001355746e-07,209395_at,219803_at
0.154,1.1506245198107932e-07,206824_at,209395_at
0.154,1.1621968143704286e-07,207972_at,209395_at
0.154,1.1624420807030745e-07,209395_at,220051_at
0.154,1.1696194627146212e-07,209395_at,221084_at
0.154,1.1707484714370894e-07,209395_at,220436_at
0.154,1.1779372088403671e-07,209395_at,213667_at
0.154,1.1839957374371719e-07,209395_at,214309_s_at
0.154,1.1870054295680957e-07,209395_at,214178_s_at
0.154,1.1885795505818357e-07,209395_at,213057_at
0.154,1.1955489486837744e-07,205200_at,209395_at
0.154,1.202817759025405e-07,209395_at,216637_at
0.154,1.2058964281490459e-07,209395_at,58308_at
0.154,1.2075837075629753e-07,208440_at,209395_at
0.154,1.209383348685182e-07,209395_at,211357_s_at
0.154,1.2136289358036578e-07,209395_at,217616_at
0.154,1.21497208636857e-07,209395_at,215781_s_at
0.153,1.217244404262572e-07,207443_at,209395_at
0.153,1.2194680297571742e-07,209395_at,211331_x_at
0.153,1.2230799199419482e-07,209395_at,219543_at
0.153,1.2252499409370355e-07,209395_at,221297_at
0.153,1.2256486917935278e-07,206905_s_at,209395_at
0.153,1.2272328810232414e-07,209395_at,220253_s_at
0.153,1.2298506159870475e-07,206419_at,209395_at
0.153,1.2382317304812807e-07,207384_at,209395_at
0.153,1.2513936863989864e-07,207926_at,209395_at
0.153,1.2595189979707208e-07,209395_at,212551_at
0.153,1.2660985090973287e-07,209395_at,210329_s_at
0.153,1.2695853219837722e-07,209395_at,214750_at
0.153,1.2736099752245846e-07,209395_at,221703_at
0.153,1.2771490294396366e-07,209395_at,220818_s_at
0.153,1.295784525861228e-07,207363_at,209395_at
0.153,1.2965621958445266e-07,209395_at,221113_s_at
0.153,1.2980354356819293e-07,209395_at,216406_at
0.153,1.3047767695795218e-07,209395_at,216776_at
0.153,1.3058297220194325e-07,206866_at,209395_at
0.153,1.3137884637094212e-07,209395_at,217004_s_at
0.153,1.3142233310717655e-07,209395_at,219583_s_at
0.153,1.3147820218696095e-07,209395_at,218569_s_at
0.153,1.3174386607790703e-07,203877_at,209395_at
0.153,1.322009147644384e-07,209395_at,222074_at
0.153,1.3270230795433306e-07,204010_s_at,209395_at
0.153,1.3271648881806572e-07,209395_at,222361_at
